ticker,date,close_price
VIC,2024-01-01,52000.0
VIC,2024-01-02,
VIC,2024-01-03,52000.0
VIC,,
VIC,2024-01-05,50000.0
VIC,2024-01-06,52000.0
VIC,2024-01-07,52000.0
VIC,2024-01-08,60000.0
VIC,2024-01-09,60000.0
VIC,,
VIC,,60000.0
VIC,2024-01-12,
VIC,2024-01-13,48000.0
VIC,2024-01-14,52000.0
VIC,2024-01-15,60000.0
VIC,,52000.0
VIC,2024-01-17,
VIC,2024-01-18,60000.0
VIC,,60000.0
VIC,,50000.0
VIC,,48000.0
VIC,2024-01-22,52000.0
VIC,2024-01-23,60000.0
VIC,2024-01-24,50000.0
VIC,,60000.0
VIC,2024-01-26,52000.0
VIC,,
VIC,2024-01-28,50000.0
VIC,,
VIC,2024-01-30,48000.0
VIC,2024-01-31,50000.0
VIC,2024-02-01,
VIC,2024-02-02,50000.0
VIC,2024-02-03,50000.0
VIC,,50000.0
VIC,2024-02-05,60000.0
VIC,,50000.0
VIC,,50000.0
VIC,,
VIC,,60000.0
VHM,2024-01-01,60000.0
VHM,2024-01-02,
VHM,2024-01-03,60000.0
VHM,,48000.0
VHM,,50000.0
VHM,,50000.0
VHM,,52000.0
VHM,,48000.0
VHM,,52000.0
VHM,2024-01-10,60000.0
VHM,2024-01-11,50000.0
VHM,2024-01-12,60000.0
VHM,2024-01-13,50000.0
VHM,2024-01-14,48000.0
VHM,,
VHM,2024-01-16,52000.0
VHM,,60000.0
VHM,,52000.0
VHM,2024-01-19,60000.0
VHM,2024-01-20,52000.0
VHM,,52000.0
VHM,2024-01-22,52000.0
VHM,,60000.0
VHM,,60000.0
VHM,,
VHM,2024-01-26,48000.0
VHM,,48000.0
VHM,,
VHM,2024-01-29,60000.0
VHM,2024-01-30,
VHM,,60000.0
VHM,2024-02-01,50000.0
VHM,2024-02-02,60000.0
VHM,,50000.0
VHM,,48000.0
VHM,,52000.0
VHM,2024-02-06,
VHM,,52000.0
VHM,,
VHM,,
VNM,,
VNM,2024-01-02,48000.0
VNM,2024-01-03,50000.0
VNM,,48000.0
VNM,2024-01-05,
VNM,2024-01-06,
VNM,,60000.0
VNM,2024-01-08,50000.0
VNM,2024-01-09,48000.0
VNM,2024-01-10,
VNM,,50000.0
VNM,,60000.0
VNM,2024-01-13,50000.0
VNM,2024-01-14,48000.0
VNM,,
VNM,,50000.0
VNM,2024-01-17,60000.0
VNM,2024-01-18,48000.0
VNM,2024-01-19,
VNM,2024-01-20,60000.0
VNM,,52000.0
VNM,2024-01-22,50000.0
VNM,,50000.0
VNM,2024-01-24,50000.0
VNM,2024-01-25,50000.0
VNM,,52000.0
VNM,2024-01-27,48000.0
VNM,,48000.0
VNM,2024-01-29,
VNM,,52000.0
VNM,2024-01-31,52000.0
VNM,2024-02-01,60000.0
VNM,,52000.0
VNM,,48000.0
VNM,,
VNM,2024-02-05,60000.0
VNM,2024-02-06,50000.0
VNM,2024-02-07,48000.0
VNM,,60000.0
VNM,,
HPG,,
HPG,,48000.0
HPG,2024-01-03,60000.0
HPG,2024-01-04,48000.0
HPG,,52000.0
HPG,,52000.0
HPG,,
HPG,2024-01-08,
HPG,,
HPG,2024-01-10,52000.0
HPG,2024-01-11,50000.0
HPG,2024-01-12,60000.0
HPG,2024-01-13,50000.0
HPG,,
HPG,2024-01-15,
HPG,2024-01-16,52000.0
HPG,2024-01-17,52000.0
HPG,2024-01-18,48000.0
HPG,2024-01-19,
HPG,,48000.0
HPG,,60000.0
HPG,2024-01-22,48000.0
HPG,,
HPG,,50000.0
HPG,,52000.0
HPG,,48000.0
HPG,,50000.0
HPG,2024-01-28,50000.0
HPG,,50000.0
HPG,2024-01-30,48000.0
HPG,,50000.0
HPG,2024-02-01,50000.0
HPG,2024-02-02,48000.0
HPG,2024-02-03,52000.0
HPG,,60000.0
HPG,,52000.0
HPG,2024-02-06,50000.0
HPG,,
HPG,,52000.0
HPG,2024-02-09,60000.0
FPT,2024-01-01,
FPT,,
FPT,2024-01-03,50000.0
FPT,,
FPT,,60000.0
FPT,2024-01-06,
FPT,,60000.0
FPT,2024-01-08,
FPT,,
FPT,,52000.0
FPT,,
FPT,2024-01-12,
FPT,,60000.0
FPT,2024-01-14,48000.0
FPT,2024-01-15,
FPT,2024-01-16,60000.0
FPT,,50000.0
FPT,,
FPT,,48000.0
FPT,,52000.0
FPT,,48000.0
FPT,2024-01-22,52000.0
FPT,,52000.0
FPT,,50000.0
FPT,2024-01-25,
FPT,2024-01-26,48000.0
FPT,,50000.0
FPT,,48000.0
FPT,,52000.0
FPT,2024-01-30,60000.0
FPT,,48000.0
FPT,,48000.0
FPT,,48000.0
FPT,,
FPT,,48000.0
FPT,,48000.0
FPT,,
FPT,,52000.0
FPT,,52000.0
FPT,,
MWG,,60000.0
MWG,2024-01-02,
MWG,2024-01-03,60000.0
MWG,2024-01-04,48000.0
MWG,,48000.0
MWG,,48000.0
MWG,2024-01-07,52000.0
MWG,2024-01-08,60000.0
MWG,,60000.0
MWG,2024-01-10,60000.0
MWG,2024-01-11,50000.0
MWG,,
MWG,,48000.0
MWG,,50000.0
MWG,2024-01-15,50000.0
MWG,2024-01-16,
MWG,2024-01-17,52000.0
MWG,,52000.0
MWG,2024-01-19,48000.0
MWG,,60000.0
MWG,2024-01-21,52000.0
MWG,,50000.0
MWG,,60000.0
MWG,2024-01-24,48000.0
