ticker,date,close_price,exchange,sector,volume,trade_type
VIC,2024-01-01,52000.0,UPCOM,Tai Chinh,10000.0,B-U-Y
VIC,2024-01-01,52000.0,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-01,52000.0,UPCOM,Tai Chinh,10000.0,buy
VIC,2024-01-01,52000.0,UPCOM,Tai Chinh,20000.0,SELL
VIC,2024-01-01,52000.0,UPCOM,Tai Chinh,20000.0,sell
VIC,2024-01-01,52000.0,UPCOM,Tai Chinh,15000.0,SELL
VIC,2024-01-01,52000.0,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-01,52000.0,UPCOM,Tai Chinh,15000.0,sell
VIC,2024-01-01,52000.0,UPCOM,Tai Chinh,10000.0,sell
VIC,2024-01-01,52000.0,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-01,52000.0,UPCOM,Tai Chinh,15000.0,buy
VIC,2024-01-01,52000.0,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-02,,UPCOM,Tai Chinh,10000.0,B-U-Y
VIC,2024-01-02,,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-02,,UPCOM,Tai Chinh,10000.0,buy
VIC,2024-01-02,,UPCOM,Tai Chinh,20000.0,SELL
VIC,2024-01-02,,UPCOM,Tai Chinh,20000.0,sell
VIC,2024-01-02,,UPCOM,Tai Chinh,15000.0,SELL
VIC,2024-01-02,,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-02,,UPCOM,Tai Chinh,15000.0,sell
VIC,2024-01-02,,UPCOM,Tai Chinh,10000.0,sell
VIC,2024-01-02,,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-02,,UPCOM,Tai Chinh,15000.0,buy
VIC,2024-01-02,,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-03,52000.0,UPCOM,Tai Chinh,10000.0,B-U-Y
VIC,2024-01-03,52000.0,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-03,52000.0,UPCOM,Tai Chinh,10000.0,buy
VIC,2024-01-03,52000.0,UPCOM,Tai Chinh,20000.0,SELL
VIC,2024-01-03,52000.0,UPCOM,Tai Chinh,20000.0,sell
VIC,2024-01-03,52000.0,UPCOM,Tai Chinh,15000.0,SELL
VIC,2024-01-03,52000.0,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-03,52000.0,UPCOM,Tai Chinh,15000.0,sell
VIC,2024-01-03,52000.0,UPCOM,Tai Chinh,10000.0,sell
VIC,2024-01-03,52000.0,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-03,52000.0,UPCOM,Tai Chinh,15000.0,buy
VIC,2024-01-03,52000.0,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,,,UPCOM,Tai Chinh,10000.0,B-U-Y
VIC,,,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,,,UPCOM,Tai Chinh,10000.0,buy
VIC,,,UPCOM,Tai Chinh,20000.0,SELL
VIC,,,UPCOM,Tai Chinh,20000.0,sell
VIC,,,UPCOM,Tai Chinh,15000.0,SELL
VIC,,,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,,,UPCOM,Tai Chinh,15000.0,sell
VIC,,,UPCOM,Tai Chinh,10000.0,sell
VIC,,,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,,,UPCOM,Tai Chinh,15000.0,buy
VIC,,,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-05,50000.0,UPCOM,Tai Chinh,10000.0,B-U-Y
VIC,2024-01-05,50000.0,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-05,50000.0,UPCOM,Tai Chinh,10000.0,buy
VIC,2024-01-05,50000.0,UPCOM,Tai Chinh,20000.0,SELL
VIC,2024-01-05,50000.0,UPCOM,Tai Chinh,20000.0,sell
VIC,2024-01-05,50000.0,UPCOM,Tai Chinh,15000.0,SELL
VIC,2024-01-05,50000.0,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-05,50000.0,UPCOM,Tai Chinh,15000.0,sell
VIC,2024-01-05,50000.0,UPCOM,Tai Chinh,10000.0,sell
VIC,2024-01-05,50000.0,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-05,50000.0,UPCOM,Tai Chinh,15000.0,buy
VIC,2024-01-05,50000.0,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-06,52000.0,UPCOM,Tai Chinh,10000.0,B-U-Y
VIC,2024-01-06,52000.0,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-06,52000.0,UPCOM,Tai Chinh,10000.0,buy
VIC,2024-01-06,52000.0,UPCOM,Tai Chinh,20000.0,SELL
VIC,2024-01-06,52000.0,UPCOM,Tai Chinh,20000.0,sell
VIC,2024-01-06,52000.0,UPCOM,Tai Chinh,15000.0,SELL
VIC,2024-01-06,52000.0,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-06,52000.0,UPCOM,Tai Chinh,15000.0,sell
VIC,2024-01-06,52000.0,UPCOM,Tai Chinh,10000.0,sell
VIC,2024-01-06,52000.0,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-06,52000.0,UPCOM,Tai Chinh,15000.0,buy
VIC,2024-01-06,52000.0,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-07,52000.0,UPCOM,Tai Chinh,10000.0,B-U-Y
VIC,2024-01-07,52000.0,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-07,52000.0,UPCOM,Tai Chinh,10000.0,buy
VIC,2024-01-07,52000.0,UPCOM,Tai Chinh,20000.0,SELL
VIC,2024-01-07,52000.0,UPCOM,Tai Chinh,20000.0,sell
VIC,2024-01-07,52000.0,UPCOM,Tai Chinh,15000.0,SELL
VIC,2024-01-07,52000.0,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-07,52000.0,UPCOM,Tai Chinh,15000.0,sell
VIC,2024-01-07,52000.0,UPCOM,Tai Chinh,10000.0,sell
VIC,2024-01-07,52000.0,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-07,52000.0,UPCOM,Tai Chinh,15000.0,buy
VIC,2024-01-07,52000.0,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-08,60000.0,UPCOM,Tai Chinh,10000.0,B-U-Y
VIC,2024-01-08,60000.0,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-08,60000.0,UPCOM,Tai Chinh,10000.0,buy
VIC,2024-01-08,60000.0,UPCOM,Tai Chinh,20000.0,SELL
VIC,2024-01-08,60000.0,UPCOM,Tai Chinh,20000.0,sell
VIC,2024-01-08,60000.0,UPCOM,Tai Chinh,15000.0,SELL
VIC,2024-01-08,60000.0,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-08,60000.0,UPCOM,Tai Chinh,15000.0,sell
VIC,2024-01-08,60000.0,UPCOM,Tai Chinh,10000.0,sell
VIC,2024-01-08,60000.0,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-08,60000.0,UPCOM,Tai Chinh,15000.0,buy
VIC,2024-01-08,60000.0,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-09,60000.0,UPCOM,Tai Chinh,10000.0,B-U-Y
VIC,2024-01-09,60000.0,UPCOM,Tai Chinh,20000.0,B-U-Y
VIC,2024-01-09,60000.0,UPCOM,Tai Chinh,10000.0,buy
VIC,2024-01-09,60000.0,UPCOM,Tai Chinh,20000.0,SELL
VIC,2024-01-09,60000.0,UPCOM,Tai Chinh,20000.0,sell
VIC,2024-01-09,60000.0,UPCOM,Tai Chinh,15000.0,SELL
VIC,2024-01-09,60000.0,UPCOM,Tai Chinh,15000.0,B-U-Y
VIC,2024-01-09,60000.0,UPCOM,Tai Chinh,15000.0,sell
VIC,2024-01-09,60000.0,UPCOM,Tai Chinh,10000.0,sell
VIC,2024-01-09,60000.0,UPCOM,Tai Chinh,15000.0,B-U-Y
